email,master_customer_id,first_name,last_name,full_name_standardized,phone_standardized,crm_city,signup_date,total_spend,last_order_date,num_orders,total_time_spent_seconds,num_sessions,is_vip,days_since_last_order,segment
eric@howell-anthony.com,37137480-1784-4e0c-8af3-52bb2e10c702,Eric,Mathews,Eric Mathews,+17802907594,Austin,2025-01-02,0.0,,0.0,0.0,0.0,False,,0
ashley.thornton85@gmail.com,8f5da1bc-fcf4-4fbb-bd3f-880118381269,,,,,,,49.01,2025-04-26,1.0,0.0,0.0,False,21.0,0
mathew_johnson@hotmail.com,75ffa300-7131-4f84-ab13-c93b163214f4,Mathew,Johnson,Mathew Johnson,+17017374140,Washington,2023-04-25,737.97,2024-11-01,1.0,0.0,0.0,True,197.0,1
kjackson@yahoo.com,631db673-c187-4e97-a5cf-972faadde138,Kelly,Jackson,Kelly Jackson,+13014108087,Milwa,2024-12-15,212.07,2024-03-02,1.0,0.0,0.0,True,441.0,0
alfred@perez.biz,bf080979-6b0f-46d5-bd71-003d05982714,Alfred,Moore,Alfred Moore,,San Antonio,2025-04-30,0.0,,0.0,1203.0,4.0,False,,2
laura.porter@gmail.com,9729be4b-8209-4ec2-8c14-9d186ff9388d,Laura,Porter,Laura Porter,+13376542886,Chicago,2024-07-04,287.67,2024-02-09,1.0,2044.0,4.0,True,463.0,2
jennifer.meyers94@hotmail.com,91266b04-176c-496f-a649-d12f691f2df4,,,,,,,91.38,2023-09-08,1.0,1763.0,5.0,False,617.0,2
johnny@edwards.com,e033d89b-d7bc-4127-b36b-de56f99dd714,Johnny,Ellis,Johnny Ellis,+13044864378,Boston,2022-08-25,216.59,2024-12-18,2.0,0.0,0.0,True,150.0,1
lindsey.owens@gmail.com,c03fa507-5529-4424-b430-39fde2593d19,Lindsey,Owens,Lindsey Owens,,Tampa,2023-10-09,0.0,,0.0,0.0,0.0,False,,0
andrew.osborne78@yahoo.com,fa2a8300-4a6f-4a46-b0a6-1994d11e179f,,,,,,,371.11,2025-03-09,1.0,0.0,0.0,True,69.0,0
jason.benton@yahoo.com,57227c61-07db-473a-a5cc-ae7a00abf598,Jason,Benton,Jason Benton,+16149428480,Detroit,2023-02-10,0.0,,0.0,0.0,0.0,False,,0
matthew.wilkinson88@hotmail.com,4faa54a9-fcc0-4781-bfbc-04a1009c2766,,,,,,,0.0,,0.0,291.0,1.0,False,,0
alejandraavery@example.net,0ecbe072-2d66-4e3c-a986-21a4c8f5f4c0,Joshua,Cox,Joshua Cox,+15208957517,Portland,2023-09-03,251.58,2023-08-28,1.0,0.0,0.0,True,628.0,0
justin.cowan66@yahoo.com,04b1df81-b496-4745-9256-63b6fd206cbb,,,,,,,531.25,2023-07-01,1.0,0.0,0.0,True,686.0,0
micheal.morgan1@gmail.com,d9b81ff7-4f67-4fbf-95b8-9a0a53098253,,,,,,,0.0,,0.0,477.0,2.0,False,,0
veronica.floyd31@hotmail.com,0512468f-d2a5-4e3d-896b-823b2595a318,,,,,,,203.82,2024-08-06,1.0,1199.0,3.0,True,284.0,2
jasmine@pearson-morton.biz,1f257089-e377-4cf0-97da-988d61c0389d,Jasmine,Day,Jasmine Day,+15093232450,PR,2023-09-01,1203.55,2025-05-14,3.0,15.0,1.0,True,3.0,1
jessica.brown87@gmail.com,22e888a2-2cbe-49d4-b3ba-1a700db540d4,,,,,,,0.0,,0.0,1596.0,3.0,False,,2
randall.mitchell@yahoo.com,65219a80-5b18-4b05-bd78-d2ee271bb872,Randall,Mitchell,Randall Mitchell,+14845212027,Miami,2022-08-14,0.0,,0.0,0.0,0.0,False,,0
doris.velazquez@yahoo.com,eca3891f-c466-43a1-97de-2490ef26e71b,Doris,Velazquez,Doris Velazquez,,Tampa,2025-02-06,178.85,2024-11-20,1.0,0.0,0.0,True,178.0,0
william.watkins@hotmail.com,85693a23-f4b7-4f04-a02b-60157f59080d,William,Watkins,William Watkins,,Austin,2022-08-25,0.0,,0.0,0.0,0.0,False,,0
jeffrey_jr.@gmail.com,1a9a304d-d757-4512-85c7-05d1296513a3,Jeffrey,Kirk,Jeffrey Kirk Jr.,+13548481425,Tucson,2023-03-24,90.84,2024-11-16,1.0,0.0,0.0,False,182.0,0
jasmine.duke56@yahoo.com,557eb0bf-fdda-4a19-a3c2-83dab549e914,,,,,,,0.0,,0.0,425.0,2.0,False,,0
richard_faulkner47@gmail.com,e57a3675-f4b4-4043-8785-f25cafbddb65,Richard,Faulkner,Richard Faulkner,+19105111327,Portland,2023-08-02,384.92,2023-07-23,1.0,0.0,0.0,True,664.0,0
troy@payne.com,223d7e50-72e5-4621-a73a-4311e6d7e749,Troy,Floyd,Troy Floyd,+12142607845,AK,2023-11-30,0.0,,0.0,0.0,0.0,False,,0
ccole@gmail.com,7b3ab323-d4ab-49a0-8c68-ab9809d922c1,Carol,Cole,Carol Cole,+12233759405,Austin,2024-10-24,245.59,2023-07-18,1.0,1436.0,4.0,True,669.0,2
patrick.carson70@gmail.com,6cfed35d-7c39-4f0e-b6c2-fe9dd855b24b,,,,,,,581.23,2025-04-17,1.0,0.0,0.0,True,30.0,0
ross.castro46@hotmail.com,bc213cdf-73fe-4a44-99f6-e38511c8e8da,,,,,,,0.0,,0.0,2365.0,7.0,False,,2
robert.gonzalez47@gmail.com,c0de369d-02a0-4d70-a300-f40d0704c130,,,,,,,0.0,,0.0,689.0,4.0,False,,0
john@scott-cox.com,d702d6a6-0fb0-47bb-aae6-9d6b10fdd1fa,John,Ingram,John Ingram,,Fresno,2024-05-28,0.0,,0.0,0.0,0.0,False,,0
ashley.maddox@hotmail.com,17e3c06a-cff9-4c3e-8550-529467dca271,Ashley,Maddox,Ashley Maddox,+16066336767,Arlington,2023-03-24,2617.5099999999998,2024-02-18,2.0,550.0,1.0,True,454.0,1
bradfordbrian@example.net,fbd71cb9-fdc1-4d3a-a29b-374dc0c72e53,Tyler,Roberts,Tyler Roberts,+12764874983,Memphis,2023-02-20,1153.44,2024-11-20,3.0,0.0,0.0,True,178.0,1
chad.sanford22@yahoo.com,49348303-d953-4fe8-b8f4-748407f2bb91,,,,,,,292.62,2025-01-15,1.0,0.0,0.0,True,122.0,0
gary.edwards46@gmail.com,4139bb50-636f-47b2-9df0-13681c558c13,,,,,,,0.0,,0.0,933.0,2.0,False,,2
melissa.bell55@gmail.com,71502729-9520-4019-a979-20c0cc5f9f3c,,,,,,,219.2,2025-03-18,1.0,0.0,0.0,True,60.0,0
taylor@reyes.com,3573f448-9ac4-4fea-8d18-ba3478888551,Taylor,Moore,Taylor Moore,+17137864937,Denver,2025-03-10,664.99,2024-06-11,2.0,0.0,0.0,True,340.0,1
gordon.anderson@yahoo.com,9160f039-ae2d-49e9-aa47-b07bbb50ce3d,Gordon,Anderson,Gordon Anderson,+14472785470,Albuquerque,2022-10-03,0.0,,0.0,1191.0,5.0,False,,2
gordon.anderson@yahoo.com,9160f039-ae2d-49e9-aa47-b07bbb50ce3d,Lauren,Gray,Lauren Gray,+13145259089,Denver,2024-09-09,0.0,,0.0,1191.0,5.0,False,,2
jon.turner@gmail.com,ac47b8d1-6aef-47ad-b83e-336b535f9b8f,Jon,Turner,Jon Turner,,Tulsa,2024-04-04,963.52,2024-01-31,3.0,0.0,0.0,True,472.0,1
john.raymond@gmail.com,9e9de694-6f11-47ff-a07b-c2163087f8e6,John,Raymond,John Raymond,,CO,2023-09-17,295.6,2023-06-19,1.0,0.0,0.0,True,698.0,0
joel.jackson87@hotmail.com,436969db-8ace-408e-9178-07fd2a690ba4,,,,,,,91.71,2023-11-13,1.0,0.0,0.0,False,551.0,0
steven@miller-fernandez.org,b8c1d5e4-eb69-4438-bd89-801cb377108f,Steven,Cabrera,Steven Cabrera,+19103463901,Lake Bryan,2023-05-15,0.0,,0.0,1211.0,4.0,False,,2
terry.grimes@yahoo.com,dca1d859-6e00-4a23-b6b0-c158c0501175,Terry,Grimes,Terry Grimes,,San Jose,2023-07-14,0.0,,0.0,0.0,0.0,False,,0
mwhite@hotmail.com,a57e62ce-8d66-4a92-be9c-cadaf49579eb,Monique,White,Monique White,+18785191469,Houston,2022-05-31,0.0,,0.0,1200.0,4.0,False,,2
ashley.lawson@hotmail.com,6c22d2f8-3abf-4801-9f40-a3a736eb2cae,Ashley,Lawson,Ashley Lawson,,Omaha,2023-04-13,0.0,,0.0,0.0,0.0,False,,0
victoria@wright.com,893228ff-dc25-469a-8cfe-b48793f53b10,Victoria,Kirk,Victoria Kirk,,Oklahoma City,2024-10-21,242.48000000000002,2024-09-08,2.0,3366.0,9.0,True,251.0,2
jody.benitez@yahoo.com,ef15a629-d532-429a-9d8c-0e266fe8e5e4,Jody,Benitez,Jody Benitez,,Las Vegas,2023-07-08,52.83,2025-02-23,1.0,0.0,0.0,False,83.0,0
monica.thompson51@yahoo.com,5ae0875d-50b0-43b2-b687-2191f36a822f,,,,,,,43.69,2024-08-29,1.0,861.0,4.0,False,261.0,0
steven.ortiz69@gmail.com,c45f66b0-a89c-4f84-8ddc-2d98e9eca51c,,,,,,,28.35,2024-02-23,1.0,650.0,3.0,False,449.0,0
alison.mccarty12@yahoo.com,ac8b9bbb-93d2-49aa-b840-3c989069199a,,,,,,,571.51,2023-11-14,1.0,0.0,0.0,True,550.0,0
stephensjoshua@example.com,366222e9-5b06-4be6-92cb-1f831f1a7c08,Antonio,Shields,Antonio Shields,+13028913501,Austin,2022-07-08,0.0,,0.0,0.0,0.0,False,,0
jwilkins@gmail.com,09c8cc7c-eeee-4f4b-83aa-f11399f54330,Jennifer,Wilkins,Jennifer Wilkins,,Jacksonville,2023-05-07,0.0,,0.0,0.0,0.0,False,,0
jennifer.mckenzie94@yahoo.com,a43012fc-4121-4176-9dd8-42c9a02b73fd,,,,,,,298.93,2024-11-28,1.0,0.0,0.0,True,170.0,0
lori.silva@yahoo.com,efccd24d-d479-4d29-835b-d5153ebfa953,Lori,Silva,Lori Silva,,Phoenix,2023-08-26,119.36,2024-11-22,1.0,0.0,0.0,True,176.0,0
margaret.bradshaw15@yahoo.com,2da59a77-395b-4fc1-a5a0-9d018d0cb599,,,,,,,0.0,,0.0,465.0,2.0,False,,0
wmartin@hotmail.com,7eae64cf-f0de-4840-82bd-cb2eb8c8932b,William,Martin,William Martin,+16592038433,Detroit,2023-09-19,580.42,2024-05-20,2.0,844.0,2.0,True,362.0,1
robert_wood32@yahoo.com,6d278e19-f16b-46df-bdaf-d8841a005b6e,Robert,Wood,Robert Wood,,Memphis,2024-08-25,0.0,,0.0,447.0,1.0,False,,0
xmartin@example.com,6e955937-e137-40e2-ae49-f7fd0dda8da3,Larry,Arias,Larry Arias,+14244586295,Albuquerque,2023-04-01,826.42,2025-03-16,2.0,0.0,0.0,True,62.0,1
mr..ballard51@gmail.com,c7ebf516-5703-45f4-8e1b-01bdeaaa12b3,,,,,,,189.79,2024-03-08,1.0,0.0,0.0,True,435.0,0
carla@hill.com,f52a84fd-9656-416b-859f-bce76415c7b1,Carla,Carter,Carla Carter Md,,Oklahoma City,2024-04-15,0.0,,0.0,1149.0,5.0,False,,2
joseph.williams@yahoo.com,bd418770-8d4f-4ff7-bbde-3fa401f07a11,Joseph,Williams,Joseph Williams,,Detroit,2022-07-29,236.7,2023-11-27,1.0,0.0,0.0,True,537.0,0
jamie.swanson16@hotmail.com,207dc5b5-1de0-4665-816e-366d6608facd,,,,,,,135.88,2024-04-22,1.0,0.0,0.0,True,390.0,0
sandra.rose58@gmail.com,b03f2520-8b7f-41ed-8368-f94b6dcd8039,,,,,,,0.0,,0.0,551.0,1.0,False,,0
michele_marsh44@gmail.com,c8fd2b25-c92a-422f-b53d-6a2aaadcc9d6,Michele,Marsh,Michele Marsh,,Philadelphia,2023-02-19,0.0,,0.0,0.0,0.0,False,,0
michele_marsh44@gmail.com,c8fd2b25-c92a-422f-b53d-6a2aaadcc9d6,N.,Baxter,N. Baxter,+13018365191,San Jose,2022-12-14,0.0,,0.0,0.0,0.0,False,,0
sabrina.ward@yahoo.com,e162f975-7d0b-43ac-be8f-0d4210f09099,Sabrina,Ward,Sabrina Ward,+13128326760,Oklahoma City,2024-08-28,131.43,2024-10-25,2.0,0.0,0.0,True,204.0,0
ashley.howard@gmail.com,63df1f66-136d-4e68-949e-8783b79da686,Ashley,Howard,Ashley Howard,,Portland,2025-05-05,227.24,2024-07-02,1.0,0.0,0.0,True,319.0,0
brandi.baker@gmail.com,020621a6-74b8-4206-beb0-7039abf909c5,Brandi,Baker,Brandi Baker,,Memphis,2022-11-07,858.44,2025-01-07,1.0,0.0,0.0,True,130.0,1
thall@gmail.com,c3384b6e-260f-46e2-9a40-78755886e46b,Tyler,Hall,Tyler Hall,,New York,2024-05-24,66.36,2023-08-07,1.0,0.0,0.0,False,649.0,0
juan@foster.com,81a98211-8c08-40ae-abd0-2559d0177c2e,Juan,Jensen,Juan Jensen,+16698439455,Las Vegas,2024-02-14,540.61,2023-11-11,1.0,0.0,0.0,True,553.0,0
david.bartlett@gmail.com,c0da3689-f7ec-4511-9d86-a0021d270665,David,Bartlett,David Bartlett,+12198332608,Jacksonville,2025-04-18,340.04,2023-06-29,1.0,0.0,0.0,True,688.0,0
matthew52@example.com,819aea21-8a6a-4d0b-bb11-057db63f4c33,Jason,Parsons,Jason Parsons,+18493344132,Sacramento,2023-02-11,560.37,2024-02-13,1.0,0.0,0.0,True,459.0,0
robert@kemp.com,839c03b6-bcfc-4c5a-b3cf-88cdf8d2e5dd,Robert,Taylor,Robert Taylor,,Jacksonville,2023-02-26,966.3199999999999,2025-05-12,2.0,0.0,0.0,True,5.0,1
matthew.williams@gmail.com,f73ada7c-412b-4f4f-a598-e5f301affda7,Matthew,Williams,Matthew Williams,+13604038355,Minneapolis,2024-11-15,0.0,,0.0,0.0,0.0,False,,0
maria.finley33@yahoo.com,30713de2-dee5-4b02-9bf2-9f4369306295,,,,,,,215.05,2024-05-26,1.0,0.0,0.0,True,356.0,0
jared.mullen@yahoo.com,600050f4-272a-4e26-a431-6a404a5d06c2,Jared,Mullen,Jared Mullen,,,2025-03-02,80.15,2024-12-10,1.0,0.0,0.0,False,158.0,0
brenda_hanna11@gmail.com,544fe697-c31f-4564-b377-4c48037fa8c5,Brenda,Hanna,Brenda Hanna,,PA,2023-08-25,440.5,2024-10-04,1.0,0.0,0.0,True,225.0,0
jharding@gmail.com,cce60e1a-3041-4398-a741-3b5da20ecab0,Jerry,Harding,Jerry Harding,,New York,2024-04-04,585.53,2024-09-25,3.0,853.0,2.0,True,234.0,1
eugene.hines@yahoo.com,272ee4a4-fdd1-4ce1-aac0-a7354903a088,Eugene,Hines,Eugene Hines,+18583192109,Austin,2023-02-11,564.53,2024-07-10,2.0,0.0,0.0,True,311.0,1
angela_ramirez@gmail.com,4205c00a-cad8-401d-b3b2-8ae5bae5478a,Angela,Ramirez,Angela Ramirez,,Mesa,2024-06-20,208.89,2024-09-23,1.0,0.0,0.0,True,236.0,0
cody@robinson.info,2cc095ce-cba2-4a36-9da0-19f232f91bd8,Cody,Fuentes,Cody Fuentes,,Las Vegas,2025-01-12,0.0,,0.0,0.0,0.0,False,,0
tracy.maldonado@yahoo.com,6e9ab019-6259-4a14-8019-2266be70e879,Tracy,Maldonado,Tracy Maldonado,+12518941568,,2023-12-26,1469.13,2023-07-16,2.0,0.0,0.0,True,671.0,1
dr..jr.@hotmail.com,43a4663d-10af-4138-9251-325547861201,Richard,Wong,Dr. Richard Wong Jr.,,Austin,2023-08-29,0.0,,0.0,0.0,0.0,False,,0
andrew_perkins18@gmail.com,48e80dfa-4bad-48d0-b32e-3f5be942c476,Andrew,Perkins,Andrew Perkins,,New Orleans,2023-12-22,1203.96,2024-01-27,3.0,0.0,0.0,True,476.0,1
lisa@olson.biz,e45b768d-962d-426d-acf1-a099cc21032c,Lisa,Garcia,Lisa Garcia,,San Francisco,2022-06-11,42.44,2025-04-29,1.0,0.0,0.0,False,18.0,0
caitlin.york97@gmail.com,b239d56e-9675-455e-844f-5fd9d101d7e2,,,,,,,0.0,,0.0,590.0,2.0,False,,0
